date,open,high,low,close,volumn
2019/7/1,113.5,114,113,113,2554
2019/7/2,113,113.5,113,113.5,3002
2019/7/3,113,113.5,113,113.5,1599
2019/7/4,113.5,113.5,112.5,113,2008
2019/7/5,113,113.5,113,113.5,1556
2019/7/8,113.5,114,113,114,1891
2019/7/9,114,114,113,113.5,2162
2019/7/10,113.5,113.5,113,113.5,1878
2019/7/11,113.5,113.5,113,113.5,1920
2019/7/12,113,113.5,113,113,2650
2019/7/15,113,113,112.5,112.5,1763
2019/7/16,112.5,113,111.5,111.5,4325
2019/7/17,111.5,112,111,112,3990
2019/7/18,112,112,111.5,112,2346
2019/7/19,112,112.5,112,112,2568
2019/7/22,112,112.5,112,112.5,2832
2019/7/23,112.5,113,112,112,5816
2019/7/24,112,112.5,112,112,7935
2019/7/25,107,107.5,107,107,13138
2019/7/26,107.5,108,107,107.5,6899
2019/7/29,107.5,108,107.5,107.5,5091
2019/7/30,108,108,107.5,107.5,3264
2019/7/31,108,108,107.5,108,2998
2019/8/1,107.5,108,107,107,3545
2019/8/2,107,107.5,107,107,4397
2019/8/5,107,107.5,107,107.5,3650
2019/8/6,107,107,106.5,106.5,4433
2019/8/7,107,107.5,106.5,106.5,4337
2019/8/8,106.5,107.5,106.5,107.5,2026
2019/8/12,107.5,108,107,107.5,2581
2019/8/13,107.5,107.5,107,107,2443
2019/8/14,107.5,108,107,107,2340
2019/8/15,107,107,106.5,106.5,2723
2019/8/16,107,108,106.5,108,3884
2019/8/19,107.5,108,107,107.5,2420
2019/8/20,107.5,107.5,107,107,2504
2019/8/21,107.5,107.5,107,107.5,2261
2019/8/22,107.5,108,107,107,2383
2019/8/23,107.5,107.5,107,107.5,2697
2019/8/26,107,107.5,107,107,1650
2019/8/27,107.5,107.5,107,107.5,2048
2019/8/28,107.5,108,107,108,2080
2019/8/29,108,108.5,107.5,108.5,3760
2019/8/30,108.5,109,108,109,5485
2019/8/31,111.5,111.5,110.5,111,2265
2019/9/2,109,110,108.5,110,3868
2019/9/3,110,110.5,109.5,109.5,3772
2019/9/4,109.5,110,109,110,3371
2019/9/5,109.5,110,109.5,110,3868
2019/9/6,109.5,110,109,110,3115
2019/9/9,110,110.5,109.5,110.5,3990
2019/9/10,110.5,111,110,111,4871
2019/9/11,111,111.5,110.5,111,3760
2019/9/12,111,111.5,110.5,111,3520
2019/9/16,111,111.5,111,111.5,2621
2019/9/17,111.5,111.5,111,111.5,2682
2019/9/18,111.5,112,111,111.5,3658
2019/9/19,111.5,112,111.5,112,1630
2019/9/20,112,112.5,111,112.5,2935
2019/9/23,112.5,112.5,112,112,2415
2019/9/24,112,112,111.5,111.5,2841
2019/9/25,111.5,111.5,110.5,110.5,3508
2019/9/26,111,111,110,110,2925
2019/9/27,110.5,111,110,111,3431
2019/10/1,112,112,111,112,3460
2019/10/2,112,112.5,112,112,4287
2019/10/3,111,112,111,111.5,2701
2019/10/4,111.5,112,111.5,112,2841
2019/10/7,112,112.5,112,112.5,2378
2019/10/8,112,112.5,112,112.5,3435
2019/10/9,112,112.5,111.5,111.5,2849
2019/10/14,112,112.5,112,112,3807
2019/10/15,112,112.5,111.5,112,3567
2019/10/16,112,112.5,111.5,112.5,4033
2019/10/17,112,112.5,112,112.5,2536
2019/10/18,112.5,112.5,112,112.5,2938
2019/10/21,112,113,112,112.5,3390
2019/10/22,112.5,113,112.5,113,2311
2019/10/23,112.5,113,112,112.5,3429
2019/10/24,112.5,113,112,113,3804
2019/10/25,112.5,113,112,112.5,3156
2019/10/28,112.5,113,112,113,2064
2019/10/29,113,113,112.5,112.5,3221
2019/10/30,112.5,113,112.5,113,3232
2019/10/31,113,113,112,112,3614
